from_facility,to_facility,device_id,journey_time_seconds,entry_time,exit_time,from_facility_type,to_facility_type,from_facility_name,to_facility_name
RCOSX00018,RCOSZ01025,WT01E715D0A67861,1757720.0,1757862524.0,1756104804.0,R,R,,
RCOSX00018,RCOSZ00003,WT01E715D0A67861,1770271.0,1757875075.0,1756104804.0,R,R,,
RCOSX00018,RCOSZ00003,WT01E715D0A67861,1811388.0,1757916192.0,1756104804.0,R,R,,
RCOSX00018,RCOSZ00080,WT01E715D0A67861,2264045.0,1758368849.0,1756104804.0,R,R,,
RCOSX00018,RCOSZ00003,WT01E715D0A67861,3696074.0,1759800878.0,1756104804.0,R,R,,
RCOSX00018,RCOSZ00062,WT01E715D0A67861,3982164.0,1760086968.0,1756104804.0,R,R,,
RCOSX00018,PRCYZ04399,WT01E715D0A67861,5534001.0,1761638805.0,1756104804.0,R,P,,
RCOSX00018,RSAMZ01002,WT01E715D0A67861,5645910.0,1761750714.0,1756104804.0,R,R,,
RCOSX00018,PRCYZ04399,WT01E715D0A67861,5714187.0,1761818991.0,1756104804.0,R,P,,
RCOSX00018,RCOSZ00084,WT01E715D0A67861,6008908.0,1762113712.0,1756104804.0,R,R,,
RCOSX00018,RCOSX00018,WT01E715D0A67861,6423156.0,1762527960.0,1756104804.0,R,R,,
RCOSX00018,RSAMZ01002,WT01E715D0A67861,109943.0,1762833158.0,1762723215.0,R,R,,
RCOSX00018,PRCYZ04399,WT01E715D0A67861,234799.0,1762958014.0,1762723215.0,R,P,,
RCOSX00018,RSAMZ01002,WT01E715D0A67861,241467.0,1762964682.0,1762723215.0,R,R,,
RCOSX00018,RCOSZ00055,WT01E715D0A67861,451808.0,1763175023.0,1762723215.0,R,R,,
RCOSX00018,PRCYZ04399,WT01E715D0A67861,1465285.0,1764188500.0,1762723215.0,R,P,,
RCOSX00018,DCOSZ00002,WT01E715D0A67861,1466244.0,1764189459.0,1762723215.0,R,D,,
RCOSX00018,RCOSZ00108,WT01E715D0A67861,1935314.0,1764658529.0,1762723215.0,R,R,,
RCOSX00018,PRCYZ04399,WT01E715D0A67861,2034046.0,1764757261.0,1762723215.0,R,P,,
RCOSX00018,MCOTA00001,WT01E715D0A67861,2071588.0,1764794803.0,1762723215.0,R,M,,
RCOSX00018,MCOTY00009,WT01E715D0A67861,2085514.0,1764808729.0,1762723215.0,R,M,,
RCOSX00018,MCOTA00001,WT01E715D0A67861,2110700.0,1764833915.0,1762723215.0,R,M,,
RCOSX00018,RSUMA00001,WT01E715D0A67861,3057156.0,1765780371.0,1762723215.0,R,R,,
RCOSX00018,MCOTA00001,WT01E715D0A67861,3170746.0,1765893961.0,1762723215.0,R,M,,
RCOSX00018,RSUMA00001,WT01E715D0A67861,3378544.0,1766101759.0,1762723215.0,R,R,,
RCOSX00018,MCOTA00001,WT01E715D0A67861,3425752.0,1766148967.0,1762723215.0,R,M,,
RCOSX00018,ROBSZ00002,WT01E715D0A67861,3480254.0,1766203469.0,1762723215.0,R,R,,
RCOSX00018,MCOTA00001,WT01E715D0A67861,3790257.0,1766513472.0,1762723215.0,R,M,,
RCOSX00018,RSUMA00001,WT01E715D0A67861,4250917.0,1766974132.0,1762723215.0,R,R,,
RCOSX00018,MCOTA00001,WT01E715D0A67861,4252038.0,1766975253.0,1762723215.0,R,M,,
RCOSX00018,RWALZ00369,WT01E715D0A67861,4412110.0,1767135325.0,1762723215.0,R,R,,
RCOSX00018,RWALY02009,WT01E715D0A67861,4485787.0,1767209002.0,1762723215.0,R,R,,
RCOSX00018,DWALZ00068,WT01E715D0A67861,4612789.0,1767336004.0,1762723215.0,R,D,,
